ISCO08,Description,Definitions,Tasks include,Subgroups
143,Other services managers,"Other services managers plan, organize, and control the operations of establishments that provide sporting, cultural, recreational, travel, customer contact and other amenity services.","Tasks performed usually include: planning and organizing the range and mix of services or activities provided; ensuring that facilities are kept clean and in good condition; keeping abreast of new trends and developments relevant to the service provided; advising on the facilities available and promoting publicity; checking and keeping custody of all cash receipts and making regular stock checks; establishing and managing budgets; controlling expenditure and ensuring the efficient use of resources; planning and directing daily operations; controlling the selection, supervision and performance of staff; ensuring compliance with health and safety requirements.","Occupations in this minor group are classified into the following unit groups: 1431 Sports, Recreation and Cultural Centre Managers 1439 Services Managers Not Elsewhere Classified"
211,Physical and earth science professionals,"Physical and earth science professionals conduct research; improve or develop concepts, theories and operational methods, or apply scientific knowledge relating to physics, astronomy, meteorology, chemistry, geology and geophysics.","Tasks performed usually include: enlarging scientific knowledge through research and experiments related to mechanics, thermodynamics, optics, sonics, electricity, magnetism, electronics, nuclear physics, astronomy, various branches of chemistry, atmospheric conditions and the physical nature of the Earth; and advising on or applying this knowledge in such fields as manufacturing, agriculture, medicine, navigation, space exploration, oil, gas, water and mineral exploitation, telecommunications and other services, or civil engineering; preparing scientific papers and reports.",Occupations in this minor group are classified into the following unit groups: 2111 Physicistand Astronomers 2112 Meteorologists 2113 Chemists 2114 Geologists Geophysicists
212,"Mathematicians, actuaries and statisticians","Mathematicians, actuaries and statisticians conduct research, improve or develop mathematical, actuarial and statistical concepts, theories and operational models and techniques; and apply this knowledge to a wide range of tasks in such fields as engineering, business and social and other sciences.","Tasks performed usually include: studying, improving and developing mathematical, actuarial and statistical theories and techniques; advising on or applying mathematical principles, models and techniques to a wide range of tasks in the fields of engineering, natural, social or life sciences; conducting logical analyses of management problems, especially in terms of input-output effectiveness, and formulating mathematical models of each problem usually for programming and solution by computer; designing and putting into operation pension schemes and life, health, social and other types of insurance systems; applying mathematics, statistics, probability and risk theory to assess potential financial impacts of future events; planning and organizing surveys and other statistical collections, and designing questionnaires; evaluating, processing, analysing and interpreting statistical data and preparing them for publication; advising on or applying various data collection methods and statistical methods and techniques, and determining reliability of findings, especially in such fields as business or medicine as well as in other areas of natural, social or life sciences; preparing scientific papers and reports; supervising the work of mathematical, actuarial and statistical assistants and statistical clerks.","Occupations in this minor group are classified into the following unit group: 2120 Mathematicians, Actuaries and Statisticians"
213,Life science professionals,"Life science professionals apply knowledge gained from research into human, animal and plant life and their interactions with each other and the environment to develop new knowledge, improve agricultural and forestry production, and solve human health and environmental problems.","Tasks performed usually include: collecting, analysing and evaluating experimental and field data to identify and develop new processes and techniques; providing advice and support to governments, organizations and businesses about ecological sustainable development of natural resources.","Occupations in this minor group are classified into the following unit groups: 2131 Biologists, Botanists, Zoologists and Related Professionals 2132 Farming, Forestry and Fisheries Advisers 2133 Environmental Protection Professionals"
214,Engineering professionals (excluding electrotechnology),"Engineering professionals (excluding electrotechnology) design, plan and organize the testing, construction, installation and maintenance of structures, machines and their components, and production systems and plants; and plan production schedules and work procedures to ensure engineering projects are undertaken safely, efficiently and in a cost effective manner.","Tasks performed usually include: planning and designing chemical process systems, civil engineering projects, mechanical equipment and systems, mining and drilling operations, and other engineering projects; specifying and interpreting drawings and plans, and determining construction methods; supervising the construction of structures, water and gas supply and transportation systems, and the manufacture, installation, operation and maintenance of equipment, machines and plant; organizing and managing project labour and the delivery of materials, plant and equipment; estimating total costs and preparing detailed cost plans and estimates as tools for budgetary control; resolving design and operational problems in the various fields of engineering through the application of engineering technology.","Occupations in this minor group are classified into the following unit groups: 2141 Industrial and Production Engineers 2142 Civil Engineers 2143 Environmental Engineers 2144 Mechanical Engineers 2145 Chemical Engineers 2146 Mining Engineers, Metallurgists and Related Professionals 2149 Engineering Professionals Not Elsewhere Classified"
215,Electrotechnology engineers,"Electrotechnology engineers conduct research on and design, advise, plan and direct the construction and operation of electronic, electrical and telecommunications systems, components, motors and equipment. They organize and establish control systems to monitor the performance and safety of electrical and electronic assemblies and systems.","Tasks performed usually include: conducting research and advising on and directing the maintenance and repair of electrical, electronic and telecommunications products and systems; advising on and designing power stations and systems that generate, transmit and distribute electrical power; establishing control standards to monitor performance and safety of electrical, electronic and telecommunication systems and equipment.",Occupations in this minor group are classified into the following unit groups: 2151 Electrical Engineers 2152 Electronics Engineers 2153 Telecommunications Engineers
216,"Architects, planners, surveyors and designers","Architects, planners, surveyors and designers plan and design landscapes, building exteriors and interiors, products for manufacture, and visual and audio-visual content for the communication of information. They conduct survey work to precisely position geographical features; design, prepare and revise maps; and develop and implement plans and policies for controlling the use of land.","Tasks performed usually include: determining the objectives and constraints of the design brief by consulting with clients and stakeholders; formulating design concepts and plans that harmonize aesthetic considerations with technical, functional, ecological and production requirements; preparing sketches, diagrams, illustrations, animations; plans, maps, charts, samples and models to communicate design concepts and other information; analysing photographs, satellite imagery, survey documents and data, maps, records, reports and statistics; undertaking research and analysing functional, spatial, commercial, cultural, safety, environmental and aesthetic requirements.",Occupations in this minor group are classified into the following unit groups: 2161 Building Architects 2162 Landscape Architects 2163 Product and Garment Designers 2164 Town and Traffic Planners 2165 Cartographers and Surveyors 2166 Graphic and Multimedia Designers
221,Medical doctors,"Medical doctors (physicians) study, diagnose, treat and prevent illness, disease, injury, and other physical and mental impairments in humans through the application of the principles and procedures of modern medicine. They plan, supervise and evaluate the implementation of care and treatment plans by other health care providers, and conduct medical education and research activities.","Tasks performed usually include: conducting physical examinations of patients and interviewing them and their families to determine their health status; ordering diagnostic tests and analysing findings; prescribing and administering curative treatments and preventive measures; performing surgery and other clinical procedures; monitoring patients? progress and response to treatment; advising on health, nutrition and lifestyle behaviours which aid prevention or treatment of disease and disorders; identifying and managing complications before, during and after childbirth; planning, managing and implementing referral plans for patients in need of specialized, long-term or other types of health care services; exchanging medical information with other health professionals to ensure continuing and comprehensive care; reporting births, deaths and notifiable diseases to government authorities; conducting research into human disorders and illnesses and preventive or curative methods.",Occupations in this minor group are classified into the following unit groups: 2211 Generalist Medical Practitioners 2212 Specialist Medical Practitioners
222,Nursing and midwifery professionals,"Nursing and midwifery professionals provide treatment and care services for people who are physically or mentally ill, disabled or infirm, and others in need of care due to potential risks to health including before, during and after childbirth. They assume responsibility for the planning, management and evaluation of the care of patients, including the supervision of other health care workers, working autonomously or in teams with medical doctors and others in the practical application of preventive and curative measures.","Tasks performed usually include: assessing, planning, providing and evaluating nursing and midwifery care for patients according to the practice and standards of modern nursing and midwifery; coordinating the care of patients in consultation with other health professionals and members of health teams; developing and implementing care plans, treatments and therapies, including administering medications; monitoring and alleviating pain and discomfort experienced by patients using a variety of therapies, including the use of pain-killing drugs; monitoring patients' health condition, including progress of pregnancy and responses to curative treatment; providing information to patients, families and communities about a range of health issues, including prevention of illness, treatment and care, pregnancy and childbirth and other topics; supervising and coordinating the work of other health care workers; conducting research on nursing and midwifery practice and preparing scientific papers and reports.",Occupations in this minor group are classified into the following unit groups: 2221 Nursing Professionals 2222 Midwifery Professionals
223,Traditional and complementary medicine professionals,"Traditional and complementary medicine professionals examine patients, prevent and treat illness, disease, injury, and other physical and mental impairments and maintain general health in humans by applying knowledge, skills and practices acquired through extensive study of the theories, beliefs and experiences, originating in specific cultures.","Tasks performed usually include: conducting physical examinations of patients and interviewing them and their families to determine their health status; developing and implementing treatment plans for physical, mental and psychosocial ailments using applications such as acupuncture, ayurvedic, homoeopathic and herbal medicine; evaluating and documenting patients' progress through treatment plans; providing health, nutrition and lifestyle advice to individuals, families and communities; prescribing and preparing traditional medicines, such as herbal, plant, mineral and animal extracts, to stimulate the body's capacity for self-healing; exchanging information about patients with other health care workers as needed to ensure continuing and comprehensive health care; conducting research into traditional and complementary medicines and treatments and disseminating findings such as through scientific papers and reports.",Occupations in this minor group are classified into the following unit group: 2230 Traditional and Complementary Medicine Professionals
224,Paramedical practitioners,"Paramedical practitioners provide advisory, diagnostic, curative and preventive medical services for humans more limited in scope and complexity than those carried out by medical doctors. They work autonomously or with limited supervision of medical doctors, and apply advanced clinical procedures for treating and preventing diseases, injuries and other physical or mental impairments common to specific communities.","Tasks performed usually include: conducting physical examinations of patients and interviewing them and their families to determine their health status and recording patients' medical information; performing basic or more routine medical and surgical procedures, including prescribing and administering treatments, medications and other preventive or curative measures, especially for common diseases and disorders; administering or ordering diagnostic tests, such as X-ray, electrocardiogram, and laboratory tests; performing therapeutic procedures, such as injections, immunizations, suturing and wound care, and infection management; assisting medical doctors with complex surgical procedures; monitoring patients' progress and response to treatment, and identifying signs and symptoms requiring referral to medical doctors; advising patients and families on diet, exercise and other habits which aid prevention or treatment of disease and disorders; identifying and referring complex or unusual cases to medical doctors, hospitals or other places for specialized care; reporting births, deaths and notifiable diseases to government authorities to meet legal and professional reporting requirements.",Occupations in this minor group are classified into the following unit groups: 2240 Paramedical practitioners
225,Veterinarians,"Veterinarians diagnose, prevent and treat diseases, injuries and dysfunctions of animals. They may provide care to a wide range of animals or specialize in the treatment of a particular animal group or in a particular area of specialization, or provide professional services to commercial firms producing biological and pharmaceutical products.","Tasks performed usually include: determining the presence and nature of abnormal conditions by physical examination, laboratory testing and through diagnostic imaging techniques including radiography and ultrasound; treating animals medically and surgically, and administering and prescribing drugs, analgesics, and general and local anaesthetics; performing surgery, dressing wounds and setting broken bones; rendering obstetric services to animals; participating in programmes designed to prevent the occurrence and spread of animal diseases; inoculating animals against, and testing for, infectious diseases and notifying authorities of outbreaks of infectious animal diseases; performing autopsies to determine cause of death; advising clients on health, nutrition and feeding, hygiene, breeding and care of animals.",Occupations in this minor group are classified into the following unit groups: 2250 Veterinarians
226,Other health professionals,"Other health professionals provide health services related to dentistry, pharmacy, environmental health and hygiene, occupational health and safety, physiotherapy, nutrition, hearing, speech, vision and rehabilitation therapies. This minor group includes all human health professionals, except doctors, traditional and complementary medicine practitioners, nurses, midwives and paramedical professionals.","Tasks performed may include: assessing patients or clients to determine the nature of the disorder, illness or problem; developing and implementing treatment plans and evaluating and documenting patients' progress; diagnosing and treating diseases, injuries and malformations of the teeth, mouth, jaws and associated tissues; storing, preserving, compounding testing and dispensing medicinal products and counselling on their proper use and adverse effects; assessing, planning and implementing programmes to recognize, monitor and control environmental factors that can potentially affect human health, to improve or restore human motor functions, maximize movement ability, relieve pain syndromes, or to enhance the impact of food and nutrition on human health; diagnosing, managing and treating physical disorders affecting human hearing, communication or swallowing, or disorders of the eyes and visual system; advising clients about continued treatment and care and providing or arranging rehabilitation services; referring clients to or conferring with other health professionals or associate professionals if required.",Occupations in this minor group are classified into the following unit groups: 2261 Dentists 2262 Pharmacists 2263 Environmental and Occupational Health and Hygiene Professionals 2264 Physiotherapists 2265 Dieticians and Nutritionists 2266 Audiologists and Speech Therapists 2267 Optometrists and Ophthalmic Opticians 2269 Health Professionals Not Elsewhere Classified
231,University and higher education teachers,"University and higher education teachers prepare and deliver lectures and conduct tutorials in one or more subjects within a prescribed course of study at a university or other higher educational institution. They conduct research, and prepare scholarly papers and books.","Tasks performed usually include: designing and modifying curricula and preparing courses of study in accordance with requirements; preparing and delivering lectures and conducting tutorials, seminars and laboratory experiments; stimulating discussion and independent thought among students; supervising, where appropriate, experimental and practical work undertaken by students; administering, evaluating and marking examination papers and tests; directing research of post-graduate students or other members of department; researching into and developing concepts, theories and operational methods for application in industrial and other fields; preparing scholarly books, papers or articles; participating in departmental and faculty meetings and in conferences and seminars.",Occupations in this minor group are classified into the following unit groups: 2310 University and Higher Education Teachers
232,Vocational education teachers,Vocational education teachers teach or instruct vocational or occupational subjects in adult and further education institutions and to senior students in secondary schools and colleges. They prepare students for employment in specific occupations or occupational areas for which university or higher education is not normally required.,"Tasks performed usually include: developing curricula and planning course content and methods of instruction; determining training needs of students or workers and liaising with individuals, industry and other education sectors to ensure provision of relevant education and training programmes; presenting lectures and conducting discussions to increase students' knowledge and competence; instructing and monitoring students in the use of tools, equipment and materials and the prevention of injury and damage; observing and evaluating students' work to determine progress, provide feedback and make suggestions for improvement; administering oral, written or performance tests to measure progress, evaluate training effectiveness and assess competency; preparing reports and maintaining records such as student grades, attendance rolls, and training activity details; supervising independent or group projects, field placements, laboratory work, or other training; providing individualized instruction and tutorial or remedial instruction; conducting on-the-job training sessions to teach and demonstrate principles, techniques, procedures or methods of designated subjects.",Occupations in this minor group are classified into the following unit groups: 2320 Vocational Education Teachers
233,Secondary education teachers,"Secondary education teachers teach one or more subjects at secondary education level, excluding subjects intended to prepare students for employment in specific occupational areas.","Tasks performed usually include: designing and modifying curricula and preparing educational courses of study in accordance with curriculum guidelines; establishing and enforcing rules for behaviour and procedures for maintaining order among students; preparing and giving lessons, discussions, and demonstrations in one or more subjects; establishing clear objectives for all lessons, units and projects and communicating those objectives to students; preparing materials and classrooms for class activities; adapting teaching methods and instructional materials to meet students' varying needs and interests; observing and evaluating students? performance and behaviour; preparing, administering and marking tests, assignments and examinations to evaluate pupils' progress; preparing reports about pupils' work and conferring with other teachers and parents; participating in meetings concerning the school's educational or organizational policies; planning, organizing and participating in school activities such as excursions, sporting events and concerts.",Occupations in this minor group are classified into the following unit groups: 2330 Secondary education teachers
234,Primary school and early childhood teachers,Primary school and early childhood teachers teach a range of subjects at the primary level of education and organize educational activities for children below primary school age.,"Tasks performed usually include: preparing programme of learning and giving instruction in a range of subjects at the primary education level, planning and organising activities designed to facilitate children?s development of language, physical and social skills; preparing reports. Supervision of other workers may be included.",Occupations in this minor group are classified into the following unit groups: 2341 Primary school teachers 2342 Early childhood educators
235,Other teaching professionals,"Other teaching professionals conduct research and advise on teaching methods, teach people with learning difficulties or special needs; teach non-native languages for migration and related purposes; give private tuition; teach arts, information technology and other subjects outside the mainstream primary, secondary and higher education systems; and provide other teaching services not classified elsewhere in Sub-major Group 23: Teaching Professionals..","Tasks performed usually include: conducting research and developing or advising on teaching methods, courses and aids; teaching physically handicapped children, young persons or adults or those with learning difficulties or other with special needs, teaching non-native languages for migration purposes; teaching students in practice, theory and performance of music, drama, dance, visual and other arts; developing, scheduling and conducting training programmes and courses for information technology users.",Occupations in this minor group are classified into the following unit groups: 2351 Education Methods Specialists 2352 Special Needs Teachers 2353 Other Language Teachers 2354 Other Music Teachers 2355 Other Arts Teachers 2356 Information Technology Trainers 2359 Teaching Professionals Not Elsewhere Classified
241,Finance professionals,"Finance professionals plan, develop, organize, administer, invest, manage and conduct quantitative analyses of either financial accounting systems or funds for individuals, establishments and public or private institutions.",Tasks performed usually include: preparing and organizing financial statements for an organization; reviewing financial materials of an organization; providing financial advice to individuals and organizations; preparing analytic reports concerning segments of the economy and the economy as a whole.,Occupations in this minor group are classified into the following unit groups: 2411 Accountants 2412 Financial and investment advisers 2413 Financial analysts
242,Administration professionals,Administration professionals apply various concepts and theories related to improving the effectiveness of organizations and the individuals within the organization.,"Tasks performed usually include: evaluating the structure of organizations and suggesting areas of improvement; ensuring that the operational activities of an organization are consistent with the policy objectives of the organization; recruiting, training, developing and counselling personnel within an organization.",Occupations in this minor group are classified into the following unit groups: 2421 Management and Organization Analysts 2422 Policy Administration Professionals 2423 Personnel and Careers Professionals 2424 Training and Staff Development Professionals
243,"Sales, marketing and public relations professionals","Sales, marketing and public relations professionals plan, develop, coordinate and implement programmes of information dissemination to promote organizations, goods and services; and represent companies in selling a range of technical, industrial, medical, pharmaceutical and ICT goods and services.","Tasks performed usually include: commissioning and undertaking market research, analysing the findings and planning advertising, marketing and public relations activities; supporting business growth and development through the preparation and execution of marketing objectives, policies and programmes; planning and organizing publicity campaigns; appraising and selecting material submitted by writers, photographers, illustrators and others to create favourable publicity; acquiring and updating knowledge of employers? and competitors? goods and services, and market conditions; assessing customers? needs and explaining and demonstrating goods and services to them; visiting regular and prospective client businesses to establish and act on marketing opportunities; quoting and negotiating prices and credit terms, and completing contracts.",Occupations in this minor group are classified into the following unit groups: 2431 Advertising and Marketing Professionals 2432 Public Relations Professionals 2433 Technical and Medical Sales Professionals (excluding ICT) 2434 Information and Communications Technology Sales Professionals
251,Software and applications developers and analysts,"Software and applications developers and analysts conduct research, plan, design, write, test, provide advice on and improve information technology systems such as hardware, software and other applications to meet specific requirements. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.","Tasks performed usually include: researching information technology use in business functions and identifying areas in which improvements could be made to maximise effectiveness and efficiency; conducting research into the theoretical aspects of and operational methods for the use of computers; evaluating, planning and designing hardware or software configurations for specific applications; designing, writing, testing and maintaining computer programmes for specific requirements; evaluating, planning and designing Internet, Intranet and multimedia systems.",Occupations in this minor group are classified into the following unit groups: 2511 Systems Analysts 2512 Software Developers 2513 Web and Multimedia Developers 2514 Applications Programmers 2519 Software and Applications Developers and Analysts Not Elsewhere Classified
252,Database and network professionals,"Database and network professionals design, develop, control, maintain and support the optimal performance and security of information technology systems and infrastructure, including databases, hardware and software, networks and operating systems.","Tasks performed usually include: designing and developing database architecture, data structures, dictionaries and naming conventions for information systems projects; designing, constructing, modifying, integrating, implementing and testing database management systems; developing and implementing security plans, data administration policy, documentation and standards; maintaining and administering computer networks and related computing environments; analysing, developing, interpreting and evaluating complex system design and architecture specifications, data models and diagrams in the development, configuration and integration of computer systems.",Occupations in this minor group are classified into the following unit groups: 2521 Database designers and Administrators 2522 Systems Administrators 2523 Computer Network Professionals 2529 Database and Network Professionals Not Elsewhere Classified
261,Legal professionals,"Legal professionals conduct research on legal problems, advise clients on legal aspects of problems, plead cases or conduct prosecutions in courts of law, preside over judicial proceedings in courts of law and draft laws and regulations","Tasks performed usually include: giving clients legal advice, undertaking legal business on clients? behalf, and conducting litigation when necessary; presiding over judicial proceedings- and pronouncing judgement in courts of law. Supervision of other workers may be included.",Occupations in this minor group are classified into the following unit groups: 2611 Lawyers 2612 Judges 2619 Legal professionals not elsewhere classified
262,"Librarians, archivists and curators","Librarians, archivists and curators develop and maintain the collections of archives, libraries, museums, art galleries, and similar establishments.","Tasks performed usually include: appraising or developing and organizing the contents of archives and artefacts of historical, cultural and artistic interest, and ensuring their safe-keeping and preservation; organizing the collections of and exhibitions at museums, art galleries and similar establishments; developing and maintaining the systematic collection of recorded and published material and making it available to users in libraries and related institutions; preparing scholarly papers and reports; conducting research.",Occupations in this minor group are classified into the following unit groups: 2621 Archivists and Curators 2622 Librarians and Related Information Professionals
263,Social and religious professionals,"Social and religious professionals conduct research, improve or develop concepts, theories and operational methods; apply knowledge relating to philosophy, politics, economics, sociology, anthropology, history, psychology, and other social sciences; or provide social services to meet the needs of individuals and families in a community.","Tasks performed usually include: formulating and applying solutions to present or projected economic, political or social problems; researching into and analysing past events and activities and tracing the origin and evolution of the human race; studying mental processes and behaviour of individuals and groups; providing social services; preparing scholarly papers and reports. Supervision of other workers may be included.","Occupations in this minor group are classified into the following unit groups: 2631 Economists 2632 Sociologists, Anthropologists and Related Professionals 2633 Philosophers, Historians and Political Scientists 2634 Psychologists 2635 Social Work and Counselling Professionals 2636 Religious Professionals"
264,"Authors, journalists and linguists","Authors, journalists and linguists conceive and create literary works, interpret and communicate news and public affairs through the media; and translate or interpret from one language into another.","Tasks performed usually include: writing literary works; appraising merits of literary and other works of art; collecting information about current affairs and writing about them; researching, investigating, interpreting and communicating news and public affairs through newspapers, television, radio and other media; translating written material from one language to another; simultaneously translating from one language to another.","Occupations in this minor group are classified into the following unit groups: 2641 Authors and related writers 2642 Journalists 2643 Translators, interpreters and other linguists"
